,0 Present day longitude (degrees),1 Present day latitude (degrees),2 Reconstructed longitude (degrees),3 Reconstructed latitude (degrees),4 Age (Ma),5 Time before mineralisation (Myr),6 Seafloor age (Myr),7 Segment length (km),8 Slab length (km),9 Distance to trench edge (km),10 Subducting plate normal velocity (km/Myr),11 Subducting plate parallel velocity (km/Myr),12 Overriding plate normal velocity (km/Myr),13 Overriding plate parallel velocity (km/Myr),14 Convergence normal rate (km/Myr),15 Convergence parallel rate (km/Myr),16 Subduction polarity (degrees),17 Subduction obliquity (degrees),18 Distance along margin (km),19 Subduction obliquity signed (radians),20 Ore Deposits Binary Flag (1 or 0)
75,-71.59928000000001,-26.355067777777784,-51.68218768104343,-29.34206290333006,0.0,74.5,22.927359889858373,55.81333788888888,1749.7433694444444,1749.7433694444444,-36.58213966666666,37.368671666666664,-51.76078077777778,-0.8897865555555555,10.518083555555556,8.92183011111111,10.147034666666668,30.63921633333333,2269.479610000001,0.5347551966563507,0.0
76,-71.59928000000001,-26.355067777777784,-46.11944926162069,-30.178420773804344,0.0,84.5,18.34000485165074,56.20172666666667,1553.7970685555558,1521.9606241111112,-31.810937000000003,80.70806833333333,-58.61464533333333,4.290607666666668,12.62063688888889,55.68376488888889,7.561125555555554,39.949077,2269.479610000001,0.21522560966837787,0.0
77,-71.59928000000001,-26.355067777777784,-40.857601229698524,-31.054988529039086,0.0,94.5,36.148131248712254,55.82822888888889,1299.180855111111,580.08357,-31.276842888888886,197.11544155555555,-40.357569999999996,1.531919777777778,-30.463409222222225,192.36370055555554,5.09804388888889,80.89593811111112,2269.479610000001,-1.2449415960170067,0.0
78,-71.59928000000001,-26.355067777777784,-36.74414601552396,-32.00558268351273,0.0,104.5,30.210330615499267,55.834486000000005,1942.1118775555556,390.9903136666667,40.59210733333333,68.39262033333333,-41.24129633333333,14.259290222222223,68.31240955555556,46.681630999999996,5.310548333333333,34.55615555555555,2269.479610000001,0.6031186898245775,1.0
79,-71.59928000000001,-26.355067777777784,-33.53443985626636,-32.517827065622974,0.0,114.5,23.076313364925404,55.939845777777784,1824.3485532222226,651.2446497777777,36.797571777777776,17.05643622222222,-12.786013222222227,-13.009992666666665,45.58709499999999,-25.127113111111107,6.498376777777779,44.707821,2269.479610000001,-0.6124392618771233,1.0
80,-71.59928000000001,-26.355067777777784,-33.5976898779218,-32.424446578347606,0.0,124.5,18.218569872277754,56.22213833333334,2266.2176435555557,640.5760992222223,85.70979500000001,33.24272133333333,-2.4742711111111113,16.709828111111115,53.15460822222222,150.24366644444444,10.03014577777778,69.715441,2269.479610000001,1.2167639730069624,0.0
81,-71.59928000000001,-26.355067777777784,-36.22097024109735,-33.197506728276096,0.0,134.5,17.222817234349343,56.02185222222222,1419.7383553333334,-16.64817322222222,54.94243022222222,25.720526,29.965611555555558,7.281991777777778,-10.611804555555556,107.90290622222221,15.872120777777777,82.5858261111111,2269.479610000001,-1.083352210880819,0.0
82,-71.59928000000001,-26.355067777777784,-39.12635085790224,-33.11288902825696,0.0,144.5,15.551917935440262,56.00309644444445,1419.5302545555555,-19.588054555555555,63.379613000000006,1.1202722222222228,7.433923444444444,10.704955111111113,43.342649888888886,58.047498555555556,18.058422444444446,50.29945466666667,2269.479610000001,0.619577341354226,0.0
83,-71.59928000000001,-26.355067777777784,-39.83256596229422,-32.44292041852971,0.0,154.5,16.100009603869587,56.02005011111112,1256.590941888889,280.8694147777777,51.844500999999994,7.009285333333334,10.571377222222221,-22.339411888888893,26.565236222222218,45.53735866666666,14.600252999999999,45.91608633333333,2269.479610000001,0.5888479084228404,0.0
84,-71.59928000000001,-26.355067777777784,-40.061938004862434,-29.935618594444566,0.0,164.5,14.526464226103291,55.674564777777775,577.1684615555557,131.99970766666667,25.379147111111116,19.671541666666666,3.212013777777777,-27.09255211111111,9.31195188888889,23.882752777777775,15.268886888888886,63.01396822222223,2269.479610000001,0.39331403404698595,0.0
